sample,genome,reference,percent_unmapped,percent_mq0,percent_mapped,percent_mq>0_mapped,reads_mapped_mq=0,properly_paired,misoriented,mismatch_rate
D21-0084,Linear,GRCh38,0.00099357,0.04583746,0.99900643,0.95316897,0.04583746,0.98596082,0.00032484,0.00765789
D21-0085,Linear,GRCh38,0.00083894,0.04565862,0.99916106,0.95350245,0.04565862,0.98788339,0.00024583,0.00753942
D21-0091,Linear,GRCh38,0.00084715,0.04499821,0.99915285,0.95415465,0.04499821,0.98806578,0.00023847,0.00781063
D22-0006,Linear,GRCh38,0.00102827,0.04749279,0.99897173,0.95147894,0.04749279,0.98802541,0.00023188,0.00714126
D22-0007,Linear,GRCh38,0.00059681,0.02759217,0.99940319,0.97181102,0.02759217,0.99113010,0.00038277,0.00660204
D22-0008,Linear,GRCh38,0.00088389,0.04300291,0.99911611,0.95611320,0.04300291,0.98831437,0.00038762,0.00839457
D22-0015,Linear,GRCh38,0.00080766,0.04828699,0.99919234,0.95090535,0.04828699,0.98864851,0.00032014,0.00652932
D22-0017,Linear,GRCh38,0.00083334,0.04875598,0.99916666,0.95041068,0.04875598,0.98899411,0.00025781,0.00618573
D22-0018,Linear,GRCh38,0.00191889,0.04376871,0.99808111,0.95431240,0.04376871,0.98873555,0.00025877,0.00624497
D22-0049,Linear,GRCh38,0.17340410,0.03775431,0.82659590,0.78884159,0.03775431,0.81659910,0.00026688,0.00662544
D22-0050,Linear,GRCh38,0.00085429,0.04781033,0.99914571,0.95133538,0.04781033,0.98613508,0.00035703,0.00737966
D22-0056,Linear,GRCh38,0.00102287,0.04687078,0.99897713,0.95210635,0.04687078,0.98717188,0.00030258,0.00693471
D22-0060,Linear,GRCh38,0.00094001,0.04526647,0.99905999,0.95379352,0.04526647,0.98697487,0.00030261,0.00727405
D22-0074,Linear,GRCh38,0.00101900,0.04250888,0.99898100,0.95647212,0.04250888,0.98739288,0.00030670,0.00741364
D22-0075,Linear,GRCh38,0.00092853,0.04600497,0.99907147,0.95306650,0.04600497,0.98677013,0.00029842,0.00767775
D22-0080,Linear,GRCh38,0.00093079,0.04365550,0.99906921,0.95541371,0.04365550,0.98714179,0.00027938,0.00813890
D22-0081,Linear,GRCh38,0.00084895,0.04681415,0.99915105,0.95233690,0.04681415,0.98604571,0.00035262,0.00873574
D22-0082,Linear,GRCh38,0.00083623,0.04567569,0.99916377,0.95348808,0.04567569,0.98691109,0.00032339,0.00869747
D22-0088,Linear,GRCh38,0.00116035,0.04631366,0.99883965,0.95252599,0.04631366,0.98778978,0.00031587,0.00849707
D22-0089,Linear,GRCh38,0.00096638,0.04713559,0.99903362,0.95189804,0.04713559,0.98660142,0.00027012,0.00821851
D22-0109,Linear,GRCh38,0.00088422,0.04432712,0.99911578,0.95478866,0.04432712,0.98798339,0.00024905,0.00768348
D22-0110,Linear,GRCh38,0.00099278,0.04538048,0.99900722,0.95362674,0.04538048,0.98749419,0.00024423,0.00756972
D22-0119,Linear,GRCh38,0.00105188,0.04654301,0.99894812,0.95240511,0.04654301,0.98649150,0.00025241,0.00839798
D22-0159,Linear,GRCh38,0.00094151,0.04250991,0.99905849,0.95654858,0.04250991,0.98832928,0.00025787,0.00705131
D22-0161,Linear,GRCh38,0.00086228,0.04471016,0.99913772,0.95442757,0.04471016,0.98682071,0.00030300,0.00743599
D22-0162,Linear,GRCh38,0.00082724,0.04239088,0.99917276,0.95678188,0.04239088,0.98841564,0.00025816,0.00753360
D22-0170,Linear,GRCh38,0.00062392,0.04142541,0.99937608,0.95795067,0.04142541,0.98989394,0.00025973,0.00769547
D23-0058,Linear,GRCh38,0.00079311,0.04765566,0.99920689,0.95155123,0.04765566,0.98594401,0.00029012,0.00673646
D23-0059,Linear,GRCh38,0.00077104,0.04817364,0.99922896,0.95105533,0.04817364,0.98647166,0.00031674,0.00662162
D23-0060,Linear,GRCh38,0.00065684,0.04205296,0.99934316,0.95729020,0.04205296,0.98755677,0.00027581,0.00662451
DGS-20-210,Linear,GRCh38,0.00054404,0.04573984,0.99945596,0.95371612,0.04573984,0.98670724,0.00029513,0.00556864
D09-468,HPRC,T2T-CHM13,0.00064371,0.05698947,0.99935629,0.94236682,0.04609620,0.97896854,0.97896854,0.00038696
D12-880,HPRC,T2T-CHM13,0.00019135,0.05899929,0.99980865,0.94080937,0.05884674,0.97317511,0.97317511,0.00042612
D12-881,HPRC,T2T-CHM13,0.00019423,0.06045784,0.99980577,0.93934793,0.06021504,0.97619242,0.97619242,0.00043950
D12-928,HPRC,T2T-CHM13,0.00137809,0.06334492,0.99862191,0.93527699,0.06525412,0.97084291,0.97084291,0.00043382
D13-708,HPRC,T2T-CHM13,0.00121996,0.06065679,0.99878004,0.93812324,0.05053989,0.97606024,0.97606024,0.00035152
D13-944,HPRC,T2T-CHM13,0.00082476,0.05722355,0.99917524,0.94195169,0.04699535,0.98115140,0.98115140,0.00034283
D14-0589,HPRC,T2T-CHM13,0.00019220,0.05830616,0.99980780,0.94150163,0.06184121,0.97293046,0.97293046,0.00055972
D15-0055,HPRC,T2T-CHM13,0.00049567,0.05427488,0.99950433,0.94522945,0.04310765,0.98927773,0.98927773,0.00035838
D15-1048,HPRC,T2T-CHM13,0.00109737,0.05891703,0.99890263,0.93998560,0.04634663,0.98728796,0.98728796,0.00037773
D15-1050,HPRC,T2T-CHM13,0.00161547,0.05559024,0.99838453,0.94279429,0.04444558,0.98612100,0.98612100,0.00035666
D15-1762,HPRC,T2T-CHM13,0.00074452,0.06142919,0.99925548,0.93782629,0.04941788,0.97501091,0.97501091,0.00038717
D15-1768,HPRC,T2T-CHM13,0.00075817,0.05557189,0.99924183,0.94366994,0.04518644,0.97734296,0.97734296,0.00041969
D16-0208,HPRC,T2T-CHM13,0.00089497,0.05832102,0.99910503,0.94078401,0.04801004,0.97947208,0.97947208,0.00040760
D16-0298,HPRC,T2T-CHM13,0.00145311,0.05429777,0.99854689,0.94424912,0.04594918,0.97736537,0.97736537,0.00037853
D17-0918,HPRC,T2T-CHM13,0.00097427,0.06816326,0.99902573,0.93086247,0.05642972,0.97825967,0.97825967,0.00041212
D18-0051,HPRC,T2T-CHM13,0.00103964,0.06455142,0.99896036,0.93440895,0.05407846,0.97465712,0.97465712,0.00038853
D18-0870,HPRC,T2T-CHM13,0.00107208,0.06470713,0.99892792,0.93422080,0.05364261,0.97328994,0.97328994,0.00039744
D18-1122,HPRC,T2T-CHM13,0.00105419,0.06391772,0.99894581,0.93502809,0.05420211,0.97468381,0.97468381,0.00035719
D18-1921,HPRC,T2T-CHM13,0.00121952,0.06016487,0.99878048,0.93861561,0.05245434,0.97443988,0.97443988,0.00034823
D19-0714,HPRC,T2T-CHM13,0.00095013,0.06055233,0.99904987,0.93849754,0.05086368,0.97624268,0.97624268,0.00038148
D19-0823,HPRC,T2T-CHM13,0.00075156,0.06575519,0.99924844,0.93349324,0.05344458,0.97696362,0.97696362,0.00035187
D19-0824,HPRC,T2T-CHM13,0.00075153,0.05709534,0.99924847,0.94215313,0.04677129,0.97553771,0.97553771,0.00035476
D19-0825,HPRC,T2T-CHM13,0.00074955,0.06366769,0.99925045,0.93558276,0.05246818,0.97613474,0.97613474,0.00036410
D19-1647,HPRC,T2T-CHM13,0.00157496,0.05773384,0.99842504,0.94069119,0.04733071,0.97781667,0.97781667,0.00037061
D19-1648,HPRC,T2T-CHM13,0.00165493,0.06194004,0.99834507,0.93640503,0.05020078,0.97656020,0.97656020,0.00037654
D19-1649,HPRC,T2T-CHM13,0.00177900,0.06001356,0.99822100,0.93820745,0.04857408,0.97737283,0.97737283,0.00038042
D20-0414,HPRC,T2T-CHM13,0.00071019,0.05647054,0.99928981,0.94281927,0.04400800,0.98161633,0.98161633,0.00033211
D20-0418,HPRC,T2T-CHM13,0.00072389,0.05905375,0.99927611,0.94022236,0.04722149,0.98242131,0.98242131,0.00033841
D20-0819,HPRC,T2T-CHM13,0.00068636,0.06153008,0.99931364,0.93778356,0.04958927,0.97780557,0.97780557,0.00045368
D20-1019,HPRC,T2T-CHM13,0.00169273,0.06019781,0.99830727,0.93810946,0.05125537,0.97390574,0.97390574,0.00040966
D20-1040,HPRC,T2T-CHM13,0.00167717,0.06585805,0.99832283,0.93246478,0.05460510,0.97478453,0.97478453,0.00044343
D21-0013,HPRC,T2T-CHM13,0.00098773,0.06068028,0.99901227,0.93833199,0.05082193,0.97654072,0.97654072,0.00040140
D21-0023,HPRC,T2T-CHM13,0.09070975,0.05732178,0.90929025,0.85196847,0.05157035,0.97612752,0.97612752,0.00039898
D21-0024,HPRC,T2T-CHM13,0.04343174,0.05446245,0.95656826,0.90210581,0.04682707,0.97726079,0.97726079,0.00040062
D21-0068,HPRC,T2T-CHM13,0.00080235,0.06266903,0.99919765,0.93652861,0.05039708,0.97529664,0.97529664,0.00035961
D21-0069,HPRC,T2T-CHM13,0.00059540,0.05594874,0.99940460,0.94345586,0.04518209,0.97796575,0.97796575,0.00036411
D21-0074,HPRC,T2T-CHM13,0.00159582,0.06097038,0.99840418,0.93743379,0.05007334,0.97365870,0.97365870,0.00037051
D21-0075,HPRC,T2T-CHM13,0.00115613,0.06566193,0.99884387,0.93318194,0.05406083,0.97742307,0.97742307,0.00035156
D21-0076,HPRC,T2T-CHM13,0.00131530,0.05703107,0.99868470,0.94165363,0.04738105,0.97730200,0.97730200,0.00038427
D21-0077,HPRC,T2T-CHM13,0.00134016,0.05904604,0.99865984,0.93961380,0.04982197,0.97495832,0.97495832,0.00035151
