sample,genome,reference,percent_unmapped,percent_mq0,percent_mapped,percent_mq>0_mapped,reads_mapped_mq=0,properly_paired,misoriented,mismatch_rate
D22-0008,Linear,T2T-CHM13,0.0010204,0.0578952,0.9989796,0.9410844,0.0578952,0.9942398,0.0002527,0.0075251
D22-0015,Linear,T2T-CHM13,0.0009113,0.0641538,0.9990887,0.9349349,0.0641538,0.9952919,0.0001795,0.0053972
D22-0017,Linear,T2T-CHM13,0.0009207,0.0654769,0.9990793,0.9336024,0.0654769,0.9950837,0.0001759,0.0050434
D22-0018,Linear,T2T-CHM13,0.0020218,0.0579990,0.9979782,0.9399792,0.0579990,0.9942273,0.0001923,0.0053111
D22-0049,Linear,T2T-CHM13,0.1735009,0.0498222,0.8264991,0.7766769,0.0498222,0.8212342,0.0002102,0.0057486
D22-0050,Linear,T2T-CHM13,0.0009710,0.0649382,0.9990290,0.9340907,0.0649382,0.9934371,0.0002416,0.0062379
D22-0056,Linear,T2T-CHM13,0.0011548,0.0611758,0.9988452,0.9376694,0.0611758,0.9926426,0.0002602,0.0060959
D22-0060,Linear,T2T-CHM13,0.0010787,0.0595929,0.9989213,0.9393284,0.0595929,0.9933669,0.0002062,0.0063706
D22-0074,Linear,T2T-CHM13,0.0011587,0.0566207,0.9988413,0.9422206,0.0566207,0.9931846,0.0002556,0.0065948
D22-0075,Linear,T2T-CHM13,0.0010480,0.0609533,0.9989520,0.9379987,0.0609533,0.9933900,0.0002381,0.0066676
D22-0080,Linear,T2T-CHM13,0.0010564,0.0572674,0.9989436,0.9416763,0.0572674,0.9936140,0.0002042,0.0072195
D22-0081,Linear,T2T-CHM13,0.0009884,0.0639020,0.9990116,0.9351096,0.0639020,0.9931875,0.0002587,0.0076928
D22-0082,Linear,T2T-CHM13,0.0009677,0.0610115,0.9990323,0.9380208,0.0610115,0.9934112,0.0002402,0.0077649
D22-0088,Linear,T2T-CHM13,0.0012996,0.0621253,0.9987004,0.9365751,0.0621253,0.9931483,0.0002363,0.0076966
D22-0089,Linear,T2T-CHM13,0.0010856,0.0625851,0.9989144,0.9363293,0.0625851,0.9935808,0.0002051,0.0070991
D22-0109,Linear,T2T-CHM13,0.0010017,0.0602065,0.9989983,0.9387918,0.0602065,0.9948148,0.0001749,0.0065924
D22-0110,Linear,T2T-CHM13,0.0011066,0.0620292,0.9988934,0.9368642,0.0620292,0.9943735,0.0001948,0.0064465
D22-0119,Linear,T2T-CHM13,0.0011740,0.0628781,0.9988260,0.9359479,0.0628781,0.9934776,0.0001934,0.0072940
