Sample	Vars	SNP	Indel	Ts/Tv
D21-0085.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8124676	6833066	1291631	0.81
D21-0091.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7121156	5963061	1157679	0.96
D21-0091.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7284172	6050608	1234147	1.03
D22-0006.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7728650	6486400	1241777	0.85
D22-0006.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7853655	6539249	1314801	0.92
D22-0007.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7798731	6597624	1200965	0.76
D22-0007.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8165957	6858901	1307389	0.8
D22-0008.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8034127	6808827	1224803	0.74
D22-0008.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8238124	6927963	1310380	0.81
D22-0015.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7792332	6527743	1263851	0.83
D22-0015.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7989552	6648754	1341088	0.88
D22-0017.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7937533	6652362	1284381	0.8
D22-0017.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8130431	6768283	1362331	0.85
D22-0018.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7760482	6485233	1274547	0.85
D22-0018.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7937969	6594444	1343923	0.91
D22-0049.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8438781	7161498	1276505	0.7
D22-0049.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8569229	7210681	1358463	0.75
D22-0050.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8545944	7294847	1250463	0.67
D22-0050.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8696970	7359653	1337347	0.72
D22-0056.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8410675	7134963	1274982	0.72
D22-0056.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8506864	7156153	1350653	0.77
D22-0060.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8418966	7151913	1266392	0.69
D22-0060.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8597515	7247906	1349663	0.75
D22-0074.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8250425	7024456	1225698	0.74
D22-0074.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8338877	7040636	1298452	0.79
D22-0075.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8475926	7249150	1226156	0.68
D22-0075.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8594585	7287879	1307006	0.73
D22-0080.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8325995	7079332	1246002	0.71
D22-0080.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8442894	7118710	1324303	0.77
D22-0081.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8364872	7126239	1237661	0.72
